event_id,source_type,direction,event_time,match_group,positive_move_id,match_quality,available_history_flag,censored_flag,event_idx
F042,MATCHED_NON_MAJOR,SHORT,2023-07-14 08:00,M14,M14,2.399739,OK,false,80
F041,MATCHED_NON_MAJOR,SHORT,2023-07-14 12:00,M14,M14,2.377643,OK,false,81
F030,MATCHED_NON_MAJOR,SHORT,2023-07-14 16:00,M10,M10,1.508634,OK,false,82
F033,MATCHED_NON_MAJOR,LONG,2023-07-18 20:00,M11,M11,1.162079,OK,false,107
F009,MATCHED_NON_MAJOR,LONG,2023-08-04 08:00,M03,M03,0.773473,OK,false,206
F002,MATCHED_NON_MAJOR,LONG,2023-08-15 20:00,M01,M01,0.714771,OK,false,275
F001,MATCHED_NON_MAJOR,LONG,2023-08-16 16:00,M01,M01,0.614215,OK,false,280
F003,MATCHED_NON_MAJOR,LONG,2023-08-17 00:00,M01,M01,1.149911,OK,false,282
M01,MAJOR,LONG,2023-09-11 16:00,M01,M01,,OK,false,436
M02,MAJOR,SHORT,2023-12-13 20:00,M02,M02,,OK,false,995
M03,MAJOR,LONG,2024-01-23 08:00,M03,M03,,OK,false,1238
M04,MAJOR,SHORT,2024-03-14 08:00,M04,M04,,OK,false,1544
M05,MAJOR,LONG,2024-07-05 00:00,M05,M05,,OK,false,2220
M06,MAJOR,SHORT,2024-07-16 00:00,M06,M06,,OK,false,2286
M07,MAJOR,LONG,2024-08-05 08:00,M07,M07,,OK,false,2408
F011,MATCHED_NON_MAJOR,SHORT,2024-08-26 04:00,M04,M04,0.828816,OK,false,2533
F026,MATCHED_NON_MAJOR,LONG,2024-08-28 00:00,M09,M09,0.631634,OK,false,2544
F008,MATCHED_NON_MAJOR,LONG,2024-08-28 08:00,M03,M03,0.770981,OK,false,2546
F025,MATCHED_NON_MAJOR,LONG,2024-08-28 16:00,M09,M09,0.549066,OK,false,2548
F027,MATCHED_NON_MAJOR,LONG,2024-08-29 00:00,M09,M09,0.665917,OK,false,2550
M08,MAJOR,LONG,2024-09-06 16:00,M08,M08,,OK,false,2602
F018,MATCHED_NON_MAJOR,SHORT,2024-09-27 04:00,M06,M06,0.882667,OK,false,2725
F016,MATCHED_NON_MAJOR,SHORT,2024-09-28 04:00,M06,M06,0.722961,OK,false,2731
F017,MATCHED_NON_MAJOR,SHORT,2024-09-28 16:00,M06,M06,0.873352,OK,false,2734
F035,MATCHED_NON_MAJOR,SHORT,2024-09-28 20:00,M12,M12,1.831732,OK,false,2735
F036,MATCHED_NON_MAJOR,SHORT,2024-09-29 00:00,M12,M12,1.859948,OK,false,2736
F012,MATCHED_NON_MAJOR,SHORT,2024-09-29 04:00,M04,M04,0.970709,OK,false,2737
F020,MATCHED_NON_MAJOR,LONG,2024-10-02 00:00,M07,M07,1.286326,OK,false,2754
F039,MATCHED_NON_MAJOR,LONG,2024-10-02 12:00,M13,M13,1.746221,OK,false,2757
F038,MATCHED_NON_MAJOR,LONG,2024-10-02 20:00,M13,M13,1.740907,OK,false,2759
F019,MATCHED_NON_MAJOR,LONG,2024-10-03 16:00,M07,M07,1.174277,OK,false,2764
F044,MATCHED_NON_MAJOR,LONG,2024-10-03 20:00,M15,M15,1.691949,OK,false,2765
F043,MATCHED_NON_MAJOR,LONG,2024-10-04 00:00,M15,M15,1.654361,OK,false,2766
F031,MATCHED_NON_MAJOR,LONG,2024-10-04 16:00,M11,M11,1.006904,OK,false,2770
F007,MATCHED_NON_MAJOR,LONG,2024-10-06 04:00,M03,M03,0.572081,OK,false,2779
F010,MATCHED_NON_MAJOR,SHORT,2024-10-07 16:00,M04,M04,0.733867,OK,false,2788
M09,MAJOR,LONG,2024-10-26 12:00,M09,M09,,OK,false,2901
M10,MAJOR,SHORT,2024-12-03 00:00,M10,M10,,OK,false,3126
M11,MAJOR,LONG,2024-12-20 08:00,M11,M11,,OK,false,3230
M12,MAJOR,SHORT,2025-01-17 16:00,M12,M12,,OK,false,3400
M13,MAJOR,LONG,2025-02-28 04:00,M13,M13,,OK,false,3649
M14,MAJOR,SHORT,2025-03-02 20:00,M14,M14,,OK,false,3665
M15,MAJOR,LONG,2025-04-07 04:00,M15,M15,,OK,false,3877
F040,MATCHED_NON_MAJOR,SHORT,2025-05-11 00:00,M14,M14,1.939683,OK,false,4080
F028,MATCHED_NON_MAJOR,SHORT,2025-05-11 04:00,M10,M10,0.972048,OK,false,4081
F006,MATCHED_NON_MAJOR,SHORT,2025-05-11 12:00,M02,M02,2.088921,OK,false,4083
F005,MATCHED_NON_MAJOR,SHORT,2025-05-11 20:00,M02,M02,1.510351,OK,false,4085
F029,MATCHED_NON_MAJOR,SHORT,2025-05-12 16:00,M10,M10,0.99572,OK,false,4090
F004,MATCHED_NON_MAJOR,SHORT,2025-05-13 00:00,M02,M02,1.478255,OK,false,4092
F034,MATCHED_NON_MAJOR,SHORT,2025-05-14 00:00,M12,M12,0.923802,OK,false,4098
F023,MATCHED_NON_MAJOR,LONG,2025-05-18 04:00,M08,M08,0.413098,OK,false,4123
F024,MATCHED_NON_MAJOR,LONG,2025-05-18 12:00,M08,M08,0.446358,OK,false,4125
F032,MATCHED_NON_MAJOR,LONG,2025-05-18 20:00,M11,M11,1.151802,OK,false,4127
F045,MATCHED_NON_MAJOR,LONG,2025-05-19 08:00,M15,M15,1.744144,OK,false,4130
F014,MATCHED_NON_MAJOR,LONG,2025-05-27 04:00,M05,M05,1.092336,OK,false,4177
F013,MATCHED_NON_MAJOR,LONG,2025-05-30 08:00,M05,M05,0.488656,OK,false,4196
F022,MATCHED_NON_MAJOR,LONG,2025-05-30 16:00,M08,M08,0.265693,OK,false,4198
F021,MATCHED_NON_MAJOR,LONG,2025-05-31 04:00,M07,M07,1.675256,OK,false,4201
F037,MATCHED_NON_MAJOR,LONG,2025-06-01 12:00,M13,M13,1.253855,OK,false,4209
F015,MATCHED_NON_MAJOR,LONG,2025-06-03 12:00,M05,M05,1.233706,OK,false,4221
