parent_zone_id,phase_id,phase_type,direction,start_open_time,effective_open_time,decision_open_time,end_open_time,price_attempt_id,local_price_decision_status,related_internal_ema_event_ids,related_parent_ema_event_id,ema_relationship,ema_event_age_bars,joint_candidate_created,joint_candidate_id,joint_candidate_result,expanded_parent_boundary,old_boundary,proposed_boundary,new_boundary,last_timestamp_used,mapped_r2_zone_id,mapped_r2_attempt_id
P001,PH001,INTERNAL_ACCEPTED_DOWN_EXTENSION,DOWN,2023-11-01 04:00:00,,2023-11-02 00:00:00,2023-11-02 00:00:00,XA001,ACCEPTED_EXTENSION,,PE001,STALE,78,False,,,True,0.2895,0.2875,0.2875,2023-11-02 00:00:00,Z001,XA001
P001,PH002,INTERNAL_UP_DEPARTURE,UP,2023-11-02 04:00:00,2023-11-02 04:00:00,2023-11-02 16:00:00,2023-11-02 16:00:00,XA002,ACCEPTED_UPSIDE_EXIT_R2,IE001;IE002,PE001,STALE,84,False,,,False,0.3031,,0.3031,2023-11-02 16:00:00,Z001,XA002
P002,PH003,INTERNAL_REJECTED_DOWN_EXCURSION,DOWN,2023-11-14 16:00:00,,2023-11-15 12:00:00,2023-11-15 12:00:00,XA003,REJECTED_WICK_OR_SINGLE_EXCURSION,IE003,PE001,STALE,159,False,,,False,0.3568,,0.3568,2023-11-15 12:00:00,Z002,XA003
P002,PH004,INTERNAL_REJECTED_UP_EXCURSION,UP,2023-11-16 04:00:00,,2023-11-16 20:00:00,2023-11-16 20:00:00,XA004,REJECTED_WICK_OR_SINGLE_EXCURSION,IE004,PE001,STALE,168,False,,,False,0.3905,,0.3905,2023-11-16 20:00:00,Z002,XA004
P002,PH005,INTERNAL_REJECTED_UP_EXCURSION,UP,2023-11-20 08:00:00,,2023-11-21 00:00:00,2023-11-21 00:00:00,XA005,REJECTED_WICK_OR_SINGLE_EXCURSION,,PE002,FRESH_SAME_DIRECTION,-1,False,,,False,0.3905,,0.3905,2023-11-21 00:00:00,Z002,XA005
P002,PH006,INTERNAL_UP_DEPARTURE,UP,2023-11-24 00:00:00,2023-11-24 00:00:00,2023-11-24 12:00:00,2023-11-24 12:00:00,XA006,ACCEPTED_UPSIDE_EXIT_R2,IE005,PE002,STALE,21,False,,,False,0.3905,,0.3905,2023-11-24 12:00:00,Z002,XA006
P002,PH007,INTERNAL_ACCEPTED_UP_EXTENSION,UP,2023-12-02 20:00:00,,2023-12-03 16:00:00,2023-12-03 16:00:00,XA007,ACCEPTED_EXTENSION,IE006,PE003,FRESH_SAME_DIRECTION,-1,False,,,True,0.3905,0.3976,0.3976,2023-12-03 16:00:00,Z003,XA007
P002,PH008,INTERNAL_UP_DEPARTURE,UP,2023-12-04 00:00:00,2023-12-04 00:00:00,2023-12-04 16:00:00,2023-12-04 16:00:00,XA008,ACCEPTED_UPSIDE_EXIT_R2,,PE003,STALE,6,False,,,False,0.3976,,0.3976,2023-12-04 16:00:00,Z003,XA008
P003,PH009,INTERNAL_UP_DEPARTURE,UP,2023-12-13 16:00:00,2023-12-13 16:00:00,2023-12-14 04:00:00,2023-12-14 04:00:00,XA009,ACCEPTED_UPSIDE_EXIT_R2,,PE003,STALE,64,False,,,False,0.6243,,0.6243,2023-12-14 04:00:00,Z004,XA009
P003,PH010,INTERNAL_DOWN_DEPARTURE,DOWN,2023-12-17 04:00:00,2023-12-17 04:00:00,2023-12-17 16:00:00,2023-12-17 16:00:00,XA010,ACCEPTED_DOWNSIDE_EXIT_R2,,PE003,STALE,85,False,,,False,0.5328,,0.5328,2023-12-17 16:00:00,Z005,XA010
P003,PH011,INTERNAL_ACCEPTED_UP_EXTENSION,UP,2023-12-21 20:00:00,,2023-12-23 08:00:00,2023-12-23 08:00:00,XA011,ACCEPTED_EXTENSION,IE008,PE003,STALE,113,False,,,True,0.6243,0.6351,0.6351,2023-12-23 08:00:00,Z006,XA011
P003,PH012,INTERNAL_ACCEPTED_UP_EXTENSION,UP,2023-12-28 00:00:00,,2023-12-28 20:00:00,2023-12-28 20:00:00,XA012,ACCEPTED_EXTENSION,IE009,PE004,FRESH_SAME_DIRECTION,-1,False,,,True,0.6351,0.6615,0.6615,2023-12-28 20:00:00,Z006,XA012
P003,PH013,INTERNAL_FAILED_JOINT_DOWN_RESOLUTION,DOWN,2024-01-03 16:00:00,2024-01-03 16:00:00,2024-01-04 04:00:00,2024-01-04 04:00:00,XA013,ACCEPTED_DOWNSIDE_EXIT_R2,IE010,PE005,FRESH_SAME_DIRECTION,-1,True,JC001,FAILED,False,0.5328,,0.5328,2024-01-04 04:00:00,Z006,XA013
