phase_id,model,parent_id,phase_type,direction,start_open_time,effective_open_time,decision_open_time,end_open_time,local_candidate_id,price_regime_id,ema_regime_id,joint_candidate_id,joint_candidate_result,expanded_parent_boundary,last_timestamp_used
PH001,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,INTERNAL_ACCEPTED_DOWN_EXTENSION,DOWN,2023-11-01 04:00:00,,2023-11-02 00:00:00,2023-11-02 00:00:00,LC001,,,,,True,2023-11-02 00:00:00
PH002,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,INTERNAL_UP_DEPARTURE,UP,2023-11-02 04:00:00,2023-11-02 04:00:00,2023-11-02 16:00:00,2023-11-02 16:00:00,LC002,PR001,,,,False,2023-11-02 16:00:00
PH003,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,INTERNAL_REJECTED_DOWN_EXCURSION,DOWN,2023-11-14 16:00:00,,2023-11-15 12:00:00,2023-11-15 12:00:00,LC003,,,,,False,2023-11-15 12:00:00
PH004,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,INTERNAL_REJECTED_UP_EXCURSION,UP,2023-11-16 04:00:00,,2023-11-16 20:00:00,2023-11-16 20:00:00,LC004,,,,,False,2023-11-16 20:00:00
PH005,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,INTERNAL_REJECTED_UP_EXCURSION,UP,2023-11-20 08:00:00,,2023-11-21 00:00:00,2023-11-21 00:00:00,LC005,,,,,False,2023-11-21 00:00:00
PH006,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,INTERNAL_FAILED_JOINT_UP_RESOLUTION,UP,2023-11-24 00:00:00,2023-11-24 00:00:00,2023-11-24 12:00:00,2023-11-24 12:00:00,LC006,PR002,AR003,JC003,FAILED,False,2023-11-24 12:00:00
PH007,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,INTERNAL_ACCEPTED_UP_EXTENSION,UP,2023-12-02 20:00:00,,2023-12-03 16:00:00,2023-12-03 16:00:00,LC007,,,,,True,2023-12-03 16:00:00
PH008,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,INTERNAL_UP_DEPARTURE,UP,2023-12-04 00:00:00,2023-12-04 00:00:00,2023-12-04 16:00:00,2023-12-04 16:00:00,LC008,PR003,AR004,,,False,2023-12-04 16:00:00
PH009,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,INTERNAL_UP_DEPARTURE,UP,2023-12-13 16:00:00,2023-12-13 16:00:00,2023-12-14 04:00:00,2023-12-14 04:00:00,LC009,PR004,,,,False,2023-12-14 04:00:00
PH010,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,INTERNAL_DOWN_DEPARTURE,DOWN,2024-01-05 16:00:00,2024-01-05 16:00:00,2024-01-06 08:00:00,2024-01-06 08:00:00,LC010,PR005,AR006,,,False,2024-01-06 08:00:00
