internal_ema_event_id,source_r2_event_id,zone_id,candidate_open_time,confirmation_open_time,direction,classification,frozen_band_low,frozen_band_high,band_width_atr,causal_last_timestamp_used
IE001,ED001,Z001,2023-11-02 00:00:00,2023-11-02 04:00:00,UP,INTERNAL_EMA_UP_AWAY_FROM_EMA200,0.2920492065511633,0.2937995050253996,0.2640472773131384,2023-11-02 04:00:00
IE002,ED002,Z001,2023-11-02 08:00:00,2023-11-02 12:00:00,UP,INTERNAL_EMA_UP_AWAY_FROM_EMA200,0.2920492065511633,0.2957204625236301,0.5410859407656808,2023-11-02 12:00:00
IE003,ED003,Z002,2023-11-14 16:00:00,2023-11-14 20:00:00,DOWN,INTERNAL_EMA_DOWN_TOWARD_EMA200,0.3697272227291095,0.3750059299524581,0.3957599961470278,2023-11-14 20:00:00
IE004,ED004,Z002,2023-11-16 08:00:00,2023-11-16 12:00:00,UP,INTERNAL_EMA_UP_AWAY_FROM_EMA200,0.3663022466775848,0.3713132126313741,0.4109270778660884,2023-11-16 12:00:00
IE005,ED005,Z002,2023-11-24 00:00:00,2023-11-24 04:00:00,UP,INTERNAL_EMA_UP_AWAY_FROM_EMA200,0.3743083734003419,0.3773945100677032,0.3278432806198908,2023-11-24 04:00:00
IE006,ED006,Z003,2023-12-02 16:00:00,2023-12-02 20:00:00,UP,INTERNAL_EMA_UP_AWAY_FROM_EMA200,0.3805017801570335,0.3828660969165505,0.4412934221953992,2023-12-02 20:00:00
IE007,ED007,Z006,2023-12-18 04:00:00,2023-12-18 08:00:00,DOWN,INTERNAL_EMA_DOWN_TOWARD_EMA200,0.602750631794552,0.6108957571181753,0.3849989511881679,2023-12-18 08:00:00
IE008,ED008,Z006,2023-12-21 20:00:00,2023-12-22 00:00:00,UP,INTERNAL_EMA_UP_AWAY_FROM_EMA200,0.5918548736328804,0.5957561382799775,0.1981470998795076,2023-12-22 00:00:00
IE009,ED009,Z006,2023-12-28 00:00:00,2023-12-28 04:00:00,UP,INTERNAL_EMA_UP_AWAY_FROM_EMA200,0.6065826058411644,0.6116490552225505,0.2550790367868431,2023-12-28 04:00:00
IE010,ED010,Z006,2024-01-03 16:00:00,2024-01-03 20:00:00,DOWN,INTERNAL_EMA_DOWN_TOWARD_EMA200,0.6071950483757449,0.6124994010057732,0.2590312846602132,2024-01-03 20:00:00
